amount,amount_to_token_limit_ratio,merchant_amount_deviation,user_tx_count_5m,user_tx_count_1h,user_tx_count_24h,device_tx_count_5m,device_tx_count_1h,device_tx_count_24h,token_tx_count_24h,user_tx_value_1h,device_tx_value_24h,token_age_seconds,time_to_expiry_seconds,offline_duration_seconds,token_reuse_count,duplicate_payload_hash_count,previous_settlement_failed,merchant_risk_aggregate,hour_of_day,day_of_week,history_available,token_age_known,expiry_known,label
578.6079867258168,0.06739106648456247,0.5075963781812003,0,2,6,0,4,9,6,574.388551268114,2907.8342741325296,2249.9618824147087,16788.82777130587,14.218399506783868,3,0,0,0.06545558225546486,11,2,1,1,1,1
815.6742520325147,0.16313485040650294,0.16924485185787827,0,3,10,1,1,7,0,434.9279749698495,8700.028133454318,3136.736125499497,5376.66350171188,485.93509730900774,0,0,0,0.19025084086913777,0,5,1,1,1,0
854.2305523239455,0.1708461104647891,0.3020653432522978,1,1,12,1,1,5,2,177.50011308031046,486.2880941800587,13446.469195961692,10894.88650103203,5.505241089276513,0,0,0,0.14306238441962557,7,4,1,1,1,0
1680.7321267933437,0.33614642535866873,0.433962755526483,0,1,10,0,1,7,1,95.32409012190261,251.48688925378232,16264.538916462821,5692.493672029394,815.4730705969474,0,0,0,0.1459314836543911,13,4,1,1,1,0
140.28183925463944,0.028056367850927886,0.12350863273118684,0,1,8,0,4,4,0,472.7111457418916,318.10363632309753,14908.416230226296,18609.895330384486,1228.8333711505722,0,0,0,0.04103283875583852,23,0,1,1,1,0
55.47080114811558,0.011094160229623116,0.24174539957497765,0,0,7,0,1,10,1,0.0,507.3433460984712,13007.122377585776,10064.942274959307,456.50952456715453,0,0,1,0.07565936833871206,14,1,1,1,1,0
218.74424163570774,0.04374884832714155,0.07451080448299027,0,2,16,0,1,5,1,716.1518351985148,437.59898684709896,13540.299158161446,3746.2566259984783,119.3635794373347,0,0,0,0.008949284088457445,19,6,1,1,1,0
2170.4785723624086,0.5314760998011854,4.107264161115424,6,5,5,0,2,4,0,223.21681463079312,494.27830889696895,9560.238105439956,16689.5595899069,7973.250052702545,0,0,0,0.7510762442574708,3,4,1,1,1,1
858.0339068433823,0.17160678136867646,0.009689236338586801,0,1,11,1,4,6,1,109.46550198778075,4471.279576624446,12177.558740810833,17663.563139014717,86.85102359307363,0,0,0,0.06871001508313207,2,1,1,1,1,0
436.42549330059694,0.08728509866011938,0.9986585724514576,0,2,10,0,1,7,2,338.36233539637493,1478.9831513824263,11178.974794106749,6723.635813174069,32.65043957891869,0,0,0,0.0413468392582295,3,4,1,1,1,0
411.30187077392947,0.08226037415478589,0.511232308482164,1,1,8,1,0,7,0,209.99301608383476,1504.1801117020946,8948.394664792204,18991.77785005835,392.5041071801245,0,0,0,0.10108581804643946,20,0,1,1,1,0
48.18221044842123,0.009636442089684246,0.08978562939958945,1,2,12,1,1,8,4,378.8556117559994,3065.957146004265,13232.51507330777,12323.270993478585,184.68819695511007,1,0,1,0.04903151133935141,9,3,1,1,1,0
150.8701454721235,0.030174029094424702,0.0789394058914427,1,5,4,1,8,5,0,495.2084680304705,560.1299883754759,4726.5247472817455,5937.591096054578,517.8545571972521,1,0,0,0.08162613317520694,11,6,1,1,1,0
